Zip,City,State,2018-11
98133,Shoreline,WA,547250.0
33157,Village of Palmetto Bay,FL,382400.0
32246,Jacksonville,FL,245000.0
29681,Simpsonville,SC,294990.0
94538,Fremont,CA,964995.0
95076,Watsonville,CA,649000.0
31088,Warner Robins,GA,174700.0
85142,Queen Creek,AZ,318990.0
28216,Charlotte,NC,199900.0
28601,Hickory,NC,239250.0
60085,Waukegan,IL,134937.5
11213,New York,NY,565000.0
37167,Smyrna,TN,288495.0
30253,McDonough,GA,207900.0
32792,Winter Park,FL,303450.0
78758,Austin,TX,289450.0
20020,Washington,DC,349450.0
31907,Columbus,GA,88000.0
38655,Oxford,MS,274900.0
36117,Montgomery,AL,209900.0
90631,La Habra,CA,635000.0
99208,Spokane,WA,299853.5
48823,East Lansing,MI,237200.0
30909,Augusta,GA,212900.0
37066,Gallatin,TN,336445.0
63021,Ballwin,MO,271450.0
92647,Huntington Beach,CA,737000.0
98122,Seattle,WA,750000.0
32608,Gainesville,FL,259900.0
27705,Durham,NC,336200.0
77083,Houston,TX,191000.0
28205,Charlotte,NC,319900.0
29485,Summerville,SC,240000.0
15301,Washington,PA,174950.0
33511,Brandon,FL,242000.0
85345,Peoria,AZ,217500.0
94513,Brentwood,CA,624900.0
75211,Dallas,TX,215000.0
06516,West Haven,CT,189450.0
17331,Penn,PA,214900.0
70726,Denham Springs,LA,204900.0
92154,San Diego,CA,465000.0
92104,San Diego,CA,699000.0
87124,Rio Rancho,NM,215000.0
97045,Oregon City,OR,466500.0
78251,San Antonio,TX,199992.5
92115,San Diego,CA,549900.0
30263,Newnan,GA,254900.0
63129,Oakville,MO,227000.0
32765,Oviedo,FL,339250.0
85204,Mesa,AZ,230000.0
37040,Clarksville,TN,189900.0
01960,Peabody,MA,399900.0
21224,Baltimore,MD,245000.0
85022,Phoenix,AZ,278200.0
85301,Glendale,AZ,179000.0
89110,Las Vegas,NV,225000.0
11203,New York,NY,554500.0
20852,North Bethesda,MD,446950.0
34293,Venice,FL,279555.0
30066,Marietta,GA,319850.0
28215,Charlotte,NC,218900.0
74133,Tulsa,OK,202449.5
92646,Huntington Beach,CA,798000.0
94587,Union City,CA,859419.0
11220,New York,NY,580000.0
27519,Cary,NC,467017.5
95355,Modesto,CA,340750.0
10031,New York,NY,542500.0
83301,Twin Falls,ID,234900.0
33458,Jupiter,FL,415000.0
94568,Dublin,CA,929000.0
21061,Glen Burnie,MD,257000.0
77346,Atascocita,TX,256705.5
59901,Kalispell,MT,379000.0
98632,Longview,WA,258250.0
97401,Eugene,OR,360000.0
89148,Las Vegas,NV,353950.0
37027,Brentwood,TN,685000.0
29579,Forestbrook,SC,248475.0
37421,Chattanooga,TN,239900.0
60148,Lombard,IL,259900.0
42701,Elizabethtown,KY,202250.0
92376,Rialto,CA,344999.5
95670,Rancho Cordova,CA,349999.0
43015,Delaware,OH,274650.0
11216,New York,NY,825000.0
23322,Chesapeake,VA,385650.0
28227,Mint Hill,NC,270000.0
95014,Cupertino,CA,1999900.0
43229,Columbus,OH,156900.0
28655,Morganton,NC,199900.0
19067,Lower Makefield,PA,414900.0
60608,Chicago,IL,313000.0
45044,Middletown,OH,164900.0
