lat,lng,median_home_value,median_household_income,occupied_housing_units,population,Zip,City,State,Median_Home_Value_Z,Top_Tier_Median_Home_Value,Bottom_Tier_Median_Home_Value
40.06,-75.08,179300.0,44123.0,24161.0,63090.0,19111,Philadelphia,PA,195000.0,0.0,139900.0
26.37,-81.73,211300.0,51818.0,16197.0,37315.0,34135,Bonita Springs,FL,305149.0,474950.0,161450.0
39.68,-86.13,116500.0,37380.0,23136.0,57086.0,46227,Indianapolis,IN,144900.0,0.0,84900.0
33.5,-117.0,322300.0,88355.0,22466.0,72492.0,92592,Temecula,CA,499894.0,580000.0,0.0
40.64,-73.9,478700.0,61061.0,31778.0,93877.0,11236,New York,NY,499000.0,0.0,0.0
40.81,-73.96,716100.0,37872.0,22839.0,59707.0,10027,New York,NY,965000.0,0.0,0.0
34.1,-117.58,283700.0,62856.0,22811.0,66925.0,91730,Rancho Cucamonga,CA,439000.0,512500.0,0.0
33.87,-84.5,207200.0,52249.0,23534.0,49905.0,30080,Smyrna,GA,375000.0,464900.0,152000.0
36.06,-95.81,149800.0,63005.0,21115.0,57526.0,74012,Broken Arrow,OK,184945.0,245000.0,0.0
39.43,-76.8,279600.0,76645.0,21805.0,53778.0,21117,Owings Mills,MD,262000.0,489900.0,164900.0
38.78,-121.37,335800.0,86595.0,18890.0,51870.0,95747,Roseville,CA,494250.0,589000.0,0.0
41.69,-87.62,132100.0,37472.0,24491.0,72202.0,60628,Chicago,IL,85000.0,0.0,74900.0
30.22,-81.74,111700.0,48290.0,21674.0,57369.0,32244,Jacksonville,FL,159450.0,0.0,124400.0
33.98,-118.17,271300.0,37267.0,24104.0,101279.0,90201,Bell,CA,449444.0,0.0,441999.0
32.8,-117.24,717300.0,64478.0,23349.0,45787.0,92109,San Diego,CA,1095000.0,1275000.0,0.0
33.8,-83.9,156400.0,63338.0,19938.0,59451.0,30052,Loganville,GA,265000.0,355345.0,149900.0
34.2,-84.1,285600.0,92733.0,18207.0,52749.0,30041,Cumming,GA,409000.0,465000.0,0.0
32.72,-117.18,448700.0,52550.0,20599.0,37095.0,92101,San Diego,CA,649000.0,1154900.0,405000.0
28.5,-81.29,90700.0,32903.0,21111.0,53029.0,32822,Orlando,FL,132247.5,0.0,112450.0
28.5,-81.8,173700.0,60312.0,19255.0,51847.0,34711,Clermont,FL,299900.0,359945.0,0.0
30.5,-81.7,142900.0,46863.0,19602.0,53473.0,32218,Jacksonville,FL,213990.0,316330.0,119470.0
40.79,-74.01,331400.0,47299.0,23325.0,60884.0,07093,West New York,NJ,495000.0,874000.0,258298.0
34.08,-118.31,776300.0,37976.0,22547.0,62180.0,90004,Los Angeles,CA,1200000.0,0.0,0.0
25.66,-80.41,214200.0,63834.0,23111.0,67137.0,33186,The Crossings,FL,311900.0,449000.0,175000.0
30.18,-81.52,247900.0,54160.0,18327.0,38483.0,32256,Jacksonville,FL,207250.0,398900.0,129888.0
34.0,-84.47,250300.0,86352.0,22958.0,62136.0,30062,Marietta,GA,379950.0,432950.0,0.0
30.5,-97.9,156900.0,71885.0,14839.0,44295.0,78641,Leander,TX,335000.0,486990.0,229990.0
33.89,-118.13,337100.0,49637.0,23650.0,76615.0,90706,Bellflower,CA,524000.0,0.0,479950.0
42.01,-87.67,210100.0,38734.0,22545.0,50139.0,60626,Chicago,IL,188000.0,0.0,136000.0
42.3,-83.9,251600.0,75559.0,23208.0,53057.0,48103,Ann Arbor,MI,416950.0,526497.5,0.0
33.72,-84.56,154100.0,41777.0,21742.0,54094.0,30331,Atlanta,GA,169500.0,363832.0,120000.0
42.42,-71.11,387000.0,73567.0,22798.0,57964.0,02155,Medford,MA,613950.0,699000.0,0.0
